"order_id","contact_name","product_name","quantity","order_date"
10248,"Paul Henriot","Queso Cabrales",12,"1996-07-04"
10248,"Paul Henriot","Singaporean Hokkien Fried Mee",10,"1996-07-04"
10248,"Paul Henriot","Mozzarella di Giovanni",5,"1996-07-04"
10249,"Karin Josephs","Tofu",9,"1996-07-05"
10249,"Karin Josephs","Manjimup Dried Apples",40,"1996-07-05"
10250,"Mario Pontes","Jack's New England Clam Chowder",10,"1996-07-08"
10250,"Mario Pontes","Manjimup Dried Apples",35,"1996-07-08"
10250,"Mario Pontes","Louisiana Fiery Hot Pepper Sauce",15,"1996-07-08"
10251,"Mary Saveley","Gustaf's Knäckebröd",6,"1996-07-08"
10251,"Mary Saveley","Ravioli Angelo",15,"1996-07-08"
10251,"Mary Saveley","Louisiana Fiery Hot Pepper Sauce",20,"1996-07-08"
10252,"Pascale Cartrain","Sir Rodney's Marmalade",40,"1996-07-09"
10252,"Pascale Cartrain","Geitost",25,"1996-07-09"
10252,"Pascale Cartrain","Camembert Pierrot",40,"1996-07-09"
10253,"Mario Pontes","Gorgonzola Telino",20,"1996-07-10"
10253,"Mario Pontes","Chartreuse verte",42,"1996-07-10"
10253,"Mario Pontes","Maxilaku",40,"1996-07-10"
10254,"Yang Wang","Guaraná Fantástica",15,"1996-07-11"
10254,"Yang Wang","Pâté chinois",21,"1996-07-11"
10254,"Yang Wang","Longlife Tofu",21,"1996-07-11"
10255,"Michael Holz","Chang",20,"1996-07-12"
10255,"Michael Holz","Pavlova",35,"1996-07-12"
10255,"Michael Holz","Inlagd Sill",25,"1996-07-12"
10255,"Michael Holz","Raclette Courdavault",30,"1996-07-12"
10256,"Paula Parente","Perth Pasties",15,"1996-07-15"
10256,"Paula Parente","Original Frankfurter grüne Soße",12,"1996-07-15"
10257,"Carlos Hernández","Schoggi Schokolade",25,"1996-07-16"
10257,"Carlos Hernández","Chartreuse verte",6,"1996-07-16"
10257,"Carlos Hernández","Original Frankfurter grüne Soße",15,"1996-07-16"
10258,"Roland Mendel","Chang",50,"1996-07-17"
10258,"Roland Mendel","Chef Anton's Gumbo Mix",65,"1996-07-17"
10258,"Roland Mendel","Mascarpone Fabioli",6,"1996-07-17"
10259,"Francisco Chang","Sir Rodney's Scones",10,"1996-07-18"
10259,"Francisco Chang","Gravad lax",1,"1996-07-18"
10260,"Henriette Pfalzheim","Jack's New England Clam Chowder",16,"1996-07-19"
10260,"Henriette Pfalzheim","Ravioli Angelo",50,"1996-07-19"
10260,"Henriette Pfalzheim","Tarte au sucre",15,"1996-07-19"
10260,"Henriette Pfalzheim","Outback Lager",21,"1996-07-19"
10261,"Bernardo Batista","Sir Rodney's Scones",20,"1996-07-19"
10261,"Bernardo Batista","Steeleye Stout",20,"1996-07-19"
10262,"Paula Wilson","Chef Anton's Gumbo Mix",12,"1996-07-22"
10262,"Paula Wilson","Uncle Bob's Organic Dried Pears",15,"1996-07-22"
10262,"Paula Wilson","Gnocchi di nonna Alice",2,"1996-07-22"
10263,"Roland Mendel","Pavlova",60,"1996-07-23"
10263,"Roland Mendel","Guaraná Fantástica",28,"1996-07-23"
10263,"Roland Mendel","Nord-Ost Matjeshering",60,"1996-07-23"
10263,"Roland Mendel","Longlife Tofu",36,"1996-07-23"
10264,"Maria Larsson","Chang",35,"1996-07-24"
10264,"Maria Larsson","Jack's New England Clam Chowder",25,"1996-07-24"
10265,"Frédérique Citeaux","Alice Mutton",30,"1996-07-25"
10265,"Frédérique Citeaux","Outback Lager",20,"1996-07-25"
10266,"Pirkko Koskitalo","Queso Manchego La Pastora",12,"1996-07-26"
10267,"Peter Franken","Boston Crab Meat",50,"1996-07-29"
10267,"Peter Franken","Raclette Courdavault",70,"1996-07-29"
10267,"Peter Franken","Lakkalikööri",15,"1996-07-29"
10268,"Manuel Pereira","Thüringer Rostbratwurst",10,"1996-07-30"
10268,"Manuel Pereira","Mozzarella di Giovanni",4,"1996-07-30"
10269,"Karl Jablonski","Geitost",60,"1996-07-31"
10269,"Karl Jablonski","Mozzarella di Giovanni",20,"1996-07-31"
10270,"Pirkko Koskitalo","Inlagd Sill",30,"1996-08-01"
10270,"Pirkko Koskitalo","Ipoh Coffee",25,"1996-08-01"
10271,"Art Braunschweiger","Geitost",24,"1996-08-01"
10272,"Paula Wilson","Sir Rodney's Marmalade",6,"1996-08-02"
10272,"Paula Wilson","Gorgonzola Telino",40,"1996-08-02"
10272,"Paula Wilson","Mozzarella di Giovanni",24,"1996-08-02"
10273,"Horst Kloss","Ikura",24,"1996-08-05"
10273,"Horst Kloss","Gorgonzola Telino",15,"1996-08-05"
10273,"Horst Kloss","Geitost",20,"1996-08-05"
10273,"Horst Kloss","Boston Crab Meat",60,"1996-08-05"
10273,"Horst Kloss","Lakkalikööri",33,"1996-08-05"
10274,"Paul Henriot","Flotemysost",20,"1996-08-06"
10274,"Paul Henriot","Mozzarella di Giovanni",7,"1996-08-06"
10275,"Giovanni Rovelli","Guaraná Fantástica",12,"1996-08-07"
10275,"Giovanni Rovelli","Raclette Courdavault",6,"1996-08-07"
10276,"Miguel Angel Paolino","Ikura",15,"1996-08-08"
10276,"Miguel Angel Paolino","Konbu",10,"1996-08-08"
10277,"Alexander Feuer","Rössle Sauerkraut",20,"1996-08-09"
10277,"Alexander Feuer","Tarte au sucre",12,"1996-08-09"
10278,"Christina Berglund","Gula Malacca",16,"1996-08-12"
10278,"Christina Berglund","Raclette Courdavault",15,"1996-08-12"
10278,"Christina Berglund","Vegie-spread",8,"1996-08-12"
10278,"Christina Berglund","Röd Kaviar",25,"1996-08-12"
10279,"Renate Messner","Alice Mutton",15,"1996-08-13"
10280,"Christina Berglund","Guaraná Fantástica",12,"1996-08-14"
10280,"Christina Berglund","Pâté chinois",20,"1996-08-14"
10280,"Christina Berglund","Rhönbräu Klosterbier",30,"1996-08-14"
10281,"Alejandra Camino","Teatime Chocolate Biscuits",1,"1996-08-14"
10281,"Alejandra Camino","Guaraná Fantástica",6,"1996-08-14"
10281,"Alejandra Camino","Steeleye Stout",4,"1996-08-14"
10282,"Alejandra Camino","Nord-Ost Matjeshering",6,"1996-08-15"
10282,"Alejandra Camino","Ravioli Angelo",2,"1996-08-15"
10283,"Carlos González","Genen Shouyu",20,"1996-08-16"
10283,"Carlos González","Teatime Chocolate Biscuits",18,"1996-08-16"
10283,"Carlos González","Camembert Pierrot",35,"1996-08-16"
10283,"Carlos González","Mozzarella di Giovanni",3,"1996-08-16"
10284,"Renate Messner","Schoggi Schokolade",15,"1996-08-19"
10284,"Renate Messner","Gula Malacca",21,"1996-08-19"
10284,"Renate Messner","Camembert Pierrot",20,"1996-08-19"
10284,"Renate Messner","Laughing Lumberjack Lager",5,"1996-08-19"
10285,"Horst Kloss","Chai",45,"1996-08-20"
10285,"Horst Kloss","Boston Crab Meat",40,"1996-08-20"
10285,"Horst Kloss","Perth Pasties",36,"1996-08-20"
10286,"Horst Kloss","Steeleye Stout",100,"1996-08-21"
10286,"Horst Kloss","Tarte au sucre",40,"1996-08-21"
10287,"Janete Limeira","Pavlova",40,"1996-08-22"
10287,"Janete Limeira","Sasquatch Ale",20,"1996-08-22"
10287,"Janete Limeira","Spegesild",15,"1996-08-22"
10288,"Maurizio Moroni","Tourtière",10,"1996-08-23"
10288,"Maurizio Moroni","Scottish Longbreads",3,"1996-08-23"
10289,"Victoria Ashworth","Aniseed Syrup",30,"1996-08-26"
10289,"Victoria Ashworth","Wimmers gute Semmelknödel",9,"1996-08-26"
10290,"Pedro Afonso","Chef Anton's Gumbo Mix",20,"1996-08-27"
10290,"Pedro Afonso","Thüringer Rostbratwurst",15,"1996-08-27"
10290,"Pedro Afonso","Maxilaku",15,"1996-08-27"
10290,"Pedro Afonso","Original Frankfurter grüne Soße",10,"1996-08-27"
10291,"Bernardo Batista","Konbu",20,"1996-08-27"
10291,"Bernardo Batista","Gula Malacca",24,"1996-08-27"
