"customer_name","num_of_orders","total_payment","ship_country","ship_city"
"Horst Kloss",86,110277.31,"Germany","Cunewalde"
"Roland Mendel",102,104874.98,"Austria","Graz"
"Jose Pavarotti",116,104361.95,"USA","Boise"
"Paula Wilson",71,51097.80,"USA","Albuquerque"
"Patricia McKenna",55,49979.91,"Ireland","Cork"
"Mario Pontes",32,32841.37,"Brazil","Rio de Janeiro"
"Philip Cramer",39,30908.38,"Germany","Brandenburg"
"Maria Larsson",45,29567.56,"Sweden","Bräcke"
"Jean Fresnière",32,28872.19,"Canada","Montréal"
"Karl Jablonski",40,27363.60,"USA","Seattle"
"Peter Franken",48,26656.56,"Germany","München"
"Lúcia Carvalho",40,25717.50,"Brazil","Sao Paulo"
"Christina Berglund",52,24927.58,"Sweden","Luleå"
"Pascale Cartrain",39,24088.78,"Belgium","Charleroi"
"Georg Pipps",23,23128.86,"Austria","Salzburg"
"Carlos Hernández",45,22768.76,"Venezuela","San Cristóbal"
"Laurence Lebihan",44,21963.25,"France","Marseille"
"Elizabeth Lincoln",35,20801.60,"Canada","Tsawassen"
"Michael Holz",30,19343.78,"Switzerland","Genève"
"Renate Messner",39,19261.41,"Germany","Frankfurt a.M."
"Frédérique Citeaux",26,18534.08,"France","Strasbourg"
"Howard Snyder",22,18507.45,"USA","Eugene"
"Jytte Petersen",15,16817.10,"Denmark","Kobenhavn"
"Felipe Izquierdo",35,16476.56,"Venezuela","I. de Margarita"
"Hari Kumar",26,16215.33,"UK","London"
"Carlos González",34,16076.60,"Venezuela","Barquisimeto"
"Palle Ibsen",31,15843.92,"Denmark","Århus"
"Pirkko Koskitalo",37,15648.70,"Finland","Oulu"
"Rene Phillips",24,15177.46,"USA","Anchorage"
"Ann Devon",21,14761.03,"UK","London"
"Thomas Hardy",30,13390.65,"UK","Colchester"
"Henriette Pfalzheim",29,12496.20,"Germany","Köln"
"Janete Limeira",27,12450.80,"Brazil","Rio de Janeiro"
"Yang Wang",22,12348.88,"Switzerland","Bern"
"Martine Rancé",16,11666.90,"France","Lille"
"José Pedro Freyre",26,11446.36,"Spain","Sevilla"
"Art Braunschweiger",20,11441.63,"USA","Lander"
"Miguel Angel Paolino",29,10812.15,"Mexico","México D.F."
"Catherine Dewey",17,9736.08,"Belgium","Bruxelles"
"Rita Müller",26,9588.42,"Germany","Stuttgart"
"Annette Roulet",31,9328.20,"France","Toulouse"
"Mary Saveley",25,9182.43,"France","Lyon"
"André Fonseca",19,8414.13,"Brazil","Campinas"
"Giovanni Rovelli",21,7176.21,"Italy","Bergamo"
"Maurizio Moroni",22,7048.24,"Italy","Reggio Emilia"
"Antonio Moreno",17,7023.98,"Mexico","México D.F."
"Anabela Domingues",13,6850.66,"Brazil","Sao Paulo"
"Bernardo Batista",24,6664.81,"Brazil","Rio de Janeiro"
"Lino Rodriguez",20,6427.42,"Portugal","Lisboa"
"Helen Bennett",23,6146.30,"UK","Cowes"
"Victoria Ashworth",22,6089.90,"UK","London"
"Paula Parente",19,6068.20,"Brazil","Resende"
"Jonas Bergulfsen",16,5735.15,"Norway","Stavern"
"Isabel de Castro",10,5044.94,"Portugal","Lisboa"
"Alexander Feuer",11,5042.20,"Germany","Leipzig"
"Karin Josephs",14,4778.14,"Germany","Münster"
"Maria Anders",12,4273.00,"Germany","Berlin"
"Fran Wilson",14,4258.60,"USA","Portland"
"Guillermo Fernández",14,4242.20,"Mexico","México D.F."
"Martín Sommer",6,4232.85,"Spain","Madrid"
"Aria Cruz",19,4107.55,"Brazil","Sao Paulo"
"Pedro Afonso",10,3810.75,"Brazil","Sao Paulo"
"Sven Ottlieb",10,3763.21,"Germany","Aachen"
"Zbyszek Piestrzeniewicz",16,3531.95,"Poland","Warszawa"
"Yvonne Moncada",11,3460.20,"Argentina","Buenos Aires"
"Liz Nixon",7,3361.00,"USA","Portland"
"Hanna Moos",14,3239.80,"Germany","Mannheim"
"Carine Schmitt",6,3172.16,"France","Nantes"
"Matti Karttunen",17,3161.35,"Finland","Helsinki"
"Jaime Yorres",10,3076.47,"USA","San Francisco"
"Yoshi Latimer",9,3063.20,"USA","Elgin"
"Sergio Gutiérrez",12,2844.10,"Argentina","Buenos Aires"
"Dominique Perrier",6,2423.35,"France","Paris"
"Daniel Tonini",11,1992.05,"France","Versailles"
"Liu Wong",8,1947.24,"USA","Butte"
"Patricio Simpson",11,1814.80,"Argentina","Buenos Aires"
"Elizabeth Brown",7,1719.10,"UK","London"
"Janine Labrune",9,1615.90,"France","Nantes"
"Helvetius Nagy",9,1571.20,"USA","Kirkland"
"Paolo Accorti",10,1545.70,"Italy","Torino"
"Manuel Pereira",4,1488.70,"Venezuela","Caracas"
"Paul Henriot",10,1480.00,"France","Reims"
"Alejandra Camino",14,1467.29,"Spain","Madrid"
"Ana Trujillo",10,1402.95,"Mexico","México D.F."
"Eduardo Saavedra",8,836.70,"Spain","Barcelona"
"Simon Crowther",6,649.00,"UK","London"
"Yoshi Tannamuri",8,522.50,"Canada","Vancouver"
"John Steel",2,357.00,"USA","Walla Walla"
"Francisco Chang",2,100.80,"Mexico","México D.F."
